"","new_id","colony","band_number","species_code","age","sex","fat","wing","weight","hour","minute","initials","day","month","year","banding_site","band.size","notes","tag","detected_Motus","measured","Notes","day_end_breeding","month_end_breeding","type","end_date_checked","day_end_colony","month_end_colony","release","last_day","ordinal_release","ordinal_last_day","lat2","lon2","id","count","ordinal_date","count2","date","state_evening","twilight","time_since_sunset","state_morning","sunrise","time_since_sunrise","roost","distance","time_departure","hour_sunset","direction"
"1422","186 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,33,186,2851200,2015-07-05 11:39:00,"arrival",2015-07-05 01:38:30,-105.024623274803,"departure",2015-07-06 09:15:40,28.612805835406,1,35.9879298704287,2015-07-04 23:53:28,23,91.1061886114255
"1447","187 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,34,187,2937600,2015-07-06 11:39:00,"arrival",2015-07-06 01:38:09,-464.599720513821,"departure",2015-07-07 09:16:44,36.9213147242864,1,35.9879298704287,2015-07-05 17:53:33,17,91.1061886114255
"1470","188 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,35,188,3024000,2015-07-07 11:39:00,"arrival",2015-07-07 01:37:47,-62.002047252655,"departure",2015-07-08 09:18:13,60.4777147928874,1,35.9879298704287,2015-07-08 00:35:46,0,91.1061886114255
"1490","189 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,36,189,3110400,2015-07-08 11:39:00,NA,2015-07-08 01:37:21,-81.87508,NA,NA,NA,0,35.9879298704287,2015-07-09 00:15:29,0,91.1061886114255
"1505","190 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,37,190,3196800,2015-07-09 11:39:00,NA,2015-07-09 01:36:54,-81.87508,NA,NA,NA,0,35.9879298704287,2015-07-10 00:15:01,0,91.1061886114255
"2","153 122","Bolin",243050892,"BANS",1,"M",1,97,13.6,7,39,"MF",2,6,2015,"Bolin",0,"TAG#122",122,"yes","yes","double checked",2,7,"lake","yes",5,7,2015-06-02 11:39:00,2015-07-06 03:59:00,153,187,42.62406185,-80.72698737,122,0,153,0,2015-06-02 11:39:00,"arrival",2015-06-02 01:28:07,17.8229243437449,"departure",2015-06-03 09:11:36,18.5855234305064,1,35.9879298704287,2015-06-03 01:45:56,1,91.1061886114255
"8","154 122","Bolin",243050892,"BANS",1,"M",1,97,13.6,7,39,"MF",2,6,2015,"Bolin",0,"TAG#122",122,"yes","yes","double checked",2,7,"lake","yes",5,7,2015-06-02 11:39:00,2015-07-06 03:59:00,153,187,42.62406185,-80.72698737,122,1,154,86400,2015-06-03 11:39:00,"arrival",2015-06-03 01:28:58,8.66640599966049,"departure",2015-06-04 09:10:29,21.2749911387761,1,35.9879298704287,2015-06-04 01:37:38,1,91.1061886114255
"25","155 122","Bolin",243050892,"BANS",1,"M",1,97,13.6,7,39,"MF",2,6,2015,"Bolin",0,"TAG#122",122,"yes","yes","double checked",2,7,"lake","yes",5,7,2015-06-02 11:39:00,2015-07-06 03:59:00,153,187,42.62406185,-80.72698737,122,2,155,172800,2015-06-04 11:39:00,"arrival",2015-06-04 01:29:47,12.0867033561071,"departure",2015-06-05 09:10:41,11.6083733638128,1,35.9879298704287,2015-06-05 01:41:52,1,91.1061886114255
"49","156 122","Bolin",243050892,"BANS",1,"M",1,97,13.6,7,39,"MF",2,6,2015,"Bolin",0,"TAG#122",122,"yes","yes","double checked",2,7,"lake","yes",5,7,2015-06-02 11:39:00,2015-07-06 03:59:00,153,187,42.62406185,-80.72698737,122,3,156,259200,2015-06-05 11:39:00,"arrival",2015-06-05 01:30:35,-12.1449347217878,NA,NA,NA,1,35.9879298704287,2015-06-06 01:18:26,1,91.1061886114255
"89","157 122","Bolin",243050892,"BANS",1,"M",1,97,13.6,7,39,"MF",2,6,2015,"Bolin",0,"TAG#122",122,"yes","yes","double checked",2,7,"lake","yes",5,7,2015-06-02 11:39:00,2015-07-06 03:59:00,153,187,42.62406185,-80.72698737,122,4,157,345600,2015-06-06 11:39:00,NA,2015-06-06 01:31:21,-81.87508,NA,NA,NA,0,35.9879298704287,2015-06-07 00:09:29,0,91.1061886114255
