"","X","new_id","colony","band_number","species_code","age","sex","fat","wing","weight","hour","minute","initials","day","month","year","banding_site","band.size","notes","tag","detected_Motus","measured","Notes","day_end_breeding","month_end_breeding","type","end_date_checked","day_end_colony","month_end_colony","release","last_day","ordinal_release","ordinal_last_day","lat2","lon2","id","count","ordinal_date","count2","date","state_evening","twilight","time_since_sunset","state_morning","sunrise","time_since_sunrise","roost","distance","time_departure","hour_sunset","direction","air_temp","precip","precip_rate","cloud_cover","temp","uwind"
"22",932,"174 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,21,174,1814400,"2015-06-23 11:39:00","arrival final","2015-06-23 01:39:26",-27.1074535369873,"departure","2015-06-24 09:09:45",9.50878749688466,1,35.9879298704287,"2015-06-24 01:12:19",1,91.1061886114255,291.9941274093,14.4837091298644,-2.3283064e-10,0.131201084528215,18.9941274092998,3.82982274237892
"23",980,"175 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,22,175,1900800,"2015-06-24 11:39:00","arrival","2015-06-24 01:39:34",-13.3115773280462,"departure","2015-06-25 09:10:05",16.9231427629789,1,35.9879298704287,"2015-06-25 01:26:16",1,91.1061886114255,293.889970447456,21.4818825560656,-2.3283064e-10,28.7886002051347,20.8899704474559,3.2076472142984
"24",1029,"176 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,23,176,1987200,"2015-06-25 11:39:00","arrival final","2015-06-25 01:39:41",-19.3424805680911,"departure","2015-06-26 09:10:27",10.0014541467031,1,35.9879298704287,"2015-06-26 01:20:20",1,91.1061886114255,291.880901058851,30.486350742328,5.90211557768132e-06,42.0682252991973,18.8809010588509,-1.89761832466659
"25",1075,"177 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,24,177,2073600,"2015-06-26 11:39:00","arrival","2015-06-26 01:39:44",-24.7332878192266,"departure","2015-06-27 09:10:52",22.9109596451124,1,35.9879298704287,"2015-06-27 01:15:00",1,91.1061886114255,293.40478790291,19.1308017201366,4.63301150652371e-06,91.1630670106323,20.40478790291,-5.49046840562543
"26",1119,"178 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,25,178,2160000,"2015-06-27 11:39:00",NA,"2015-06-27 01:39:46",-81.87508,NA,NA,NA,0,35.9879298704287,"2015-06-28 00:17:53",0,91.1061886114255,288.894325505192,34.3114051604669,0.000473875088581986,93.9162861210885,15.894325505192,-8.09040849904002
"27",1159,"179 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,26,179,2246400,"2015-06-28 11:39:00","arrival","2015-06-28 01:39:45",-11.6439957737923,"departure","2015-06-29 09:11:47",23.2926857352257,1,35.9879298704287,"2015-06-29 01:28:06",1,91.1061886114255,289.106126819642,24.5631250509053,-2.3283064e-10,76.0086571117774,16.1061268196416,3.6725117958468
"28",1199,"180 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,27,180,2332800,"2015-06-29 11:39:00","arrival final","2015-06-29 01:39:41",-48.3803614139557,"departure","2015-06-30 09:12:18",39.416225151221,1,35.9879298704287,"2015-06-30 00:51:19",0,91.1061886114255,292.747755336164,23.4499594310533,7.11084622925406e-08,24.4078557290575,19.7477553361642,-1.14908119267776
"29",1242,"181 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,28,181,2419200,"2015-06-30 11:39:00","arrival","2015-06-30 01:39:36",-59.5428934574127,"departure","2015-07-01 09:13:34",74.4469614942869,1,35.9879298704287,"2015-07-01 00:40:03",0,91.1061886114255,291.774511390389,30.9727730604575,0.000170511318926125,81.2318542513853,18.774511390389,2.01254252458275
"30",1282,"182 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,29,182,2505600,"2015-07-01 11:39:00","arrival","2015-07-01 01:39:27",-60.2848064541817,"departure","2015-07-02 09:12:45",36.1250074227651,1,35.9879298704287,"2015-07-02 00:39:10",0,91.1061886114255,290.214213719886,18.5558325374649,-2.3283064e-10,19.5391180920611,17.2142137198864,2.5078020776423
"31",1319,"183 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,30,183,2592000,"2015-07-02 11:39:00","arrival","2015-07-02 01:39:17",-45.4465162873268,"departure","2015-07-03 09:14:01",26.0094575444857,1,35.9879298704287,"2015-07-03 00:53:50",0,91.1061886114255,291.44454761719,13.5545151518305,-2.3283064e-10,18.5509434307803,18.4445476171896,0.451730825241495
